model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,v0_speedup,v45_speedup,count,v0_speedup_calc,v45_speedup_calc,pytorch_eager_speedup,pytorch_jit_speedup
Bench 1709,27474618.0,14360377.0,14377885.0,62899796.0,43336816.0,0.4368,0.634,1,0.43679979502636224,0.6339786937739035,1.9132240051915073,1.910894265742145
Bench 1729,2530250.0,25606.0,34032.0,57663633.0,6602454.0,0.0439,0.3832,1,0.04387947599486144,0.3832287207150553,98.81473092244005,74.34914198401505
Bench 1747,24372342.0,283504.0,290781.0,18804968.0,28901190.0,1.2961,0.8433,1,1.2960586798126963,0.8432989091452636,85.96824736158925,83.8168312234981
Bench 1748,6870614.0,1848448.0,1835707.0,40777846.0,18845925.0,0.1685,0.3646,1,0.16848888977608087,0.3645676187292478,3.7169636365210166,3.742761780610958
Bench 1751,-1.0,197003944.0,196725933.0,,,,,1,,,-5.076040508102721e-09,-5.08321391465964e-09
Bench 1754,431179070.0,19078.0,28617.0,324991963.0,2086386021.0,1.3267,0.2067,1,1.3267376399704998,0.2066631321625405,22600.852814760456,15067.235209840304
Bench 1760,10509786282.0,60012029.0,60066665.0,1207310399.0,24979335499.0,8.7051,0.4207,1,8.705123629105758,0.42073922592619567,175.1279944559115,174.96869989369313
Bench 1766,744976471.0,4690402.0,4697938.0,136990051.0,772069374.0,5.4382,0.9649,1,5.438179382822479,0.964908719459192,158.82998322958247,158.5752027804539
Bench 1779,810841156.0,15535.0,24025.0,364375900.0,3163569491.0,2.2253,0.2563,1,2.225287556065042,0.2563057831689021,52194.47415513357,33749.89202913632
Bench 1784,849747992.0,209804525.0,209852396.0,647895032.0,8397287496.0,1.3116,0.1012,1,1.3115519490509073,0.10119315224169384,4.050189060507632,4.049265141580752
Bench 1801,48378528.0,228964.0,236832.0,43029780.0,141259820.0,1.1243,0.3425,1,1.1243034010399309,0.3424790432268709,211.29316399084573,204.2736116740981
Bench 1807,162022875.0,137453338.0,137513417.0,120675909.0,164585974.0,1.3426,0.9844,1,1.3426281711290031,0.9844269901152087,1.1787482018079474,1.1782332119636005
Bench 1809,119008865.0,15381853.0,15981925.0,88692917.0,373544796.0,1.3418,0.3186,1,1.3418079935289533,0.3185932886078809,7.7369654358288305,7.446466242333136
Bench 1817,14772921.0,12380686.0,12393020.0,36873362.0,31053134.0,0.4006,0.4757,1,0.4006393829778798,0.47573043674110316,1.1932231380393623,1.1920355974572783
Bench 1831,678870920.0,10451305.0,10496302.0,125671450.0,1086330901.0,5.402,0.6249,1,5.401950244068959,0.6249209328162156,64.955612720134,64.67715201029849
Bench 1834,1027601927.0,7845547.0,7859481.0,215950728.0,2693859021.0,4.7585,0.3815,1,4.758501795835576,0.3814609149882458,130.97900337605523,130.74679193193546
Bench 1846,240005386.0,214348881.0,214380728.0,721587627.0,994478065.0,0.3326,0.2413,1,0.33260740209449297,0.2413380389641877,1.1196950731923812,1.1195287386093773
Bench 1851,1232784.0,18629.0,27845.0,14910663.0,3326472.0,0.0827,0.3706,1,0.0826780137140783,0.37059803900348476,66.17553277148532,44.2730831388041
Bench 1858,3081843441.0,229916.0,237813.0,927716402.0,8619782198.0,3.322,0.3575,1,3.32196718130246,0.3575314747181272,13404.214761043164,12959.1041742882
Bench 1859,31008271.0,111898.0,122008.0,64583046.0,54475119.0,0.4801,0.5692,1,0.4801302032115364,0.5692189676538384,277.11193229548337,254.14949019736412
Bench 1869,8547310172.0,34384335.0,34357136.0,1653851367.0,17567898162.0,5.1681,0.4865,1,5.168124743582233,0.486530038663825,248.58151748463362,248.77830829671018
Bench 1874,58253619.0,39774631.0,39854884.0,145455434.0,74835604.0,0.4005,0.7784,1,0.400491184124479,0.7784211777057348,1.4645923176509168,1.4616431702573767
Bench 1877,2303844268.0,924986428.0,941464765.0,246478539.0,1590428563.0,9.347,1.4486,1,9.347037991003347,1.4485682171441232,2.490678996211175,2.447084961273086
Bench 1880,60392918.0,2077093.0,2059384.0,56069343.0,106228301.0,1.0771,0.5685,1,1.0771112120932111,0.568520040624579,29.075692807206995,29.325719729783273
Bench 189,11166113453.0,13404024827.0,13404039065.0,9531635949.0,37616979024.0,1.1715,0.2968,1,1.17147922064433,0.2968370598254557,0.8330418360989507,0.8330409512276366
Bench 1891,438708.0,19769.0,27987.0,30570602.0,645974.0,0.0144,0.6791,1,0.014350649686257405,0.6791418849675064,22.19171430016693,15.675420731053704
Bench 1892,1263761281.0,8033608.0,8041579.0,156531224.0,5684301704.0,8.0735,0.2223,1,8.073541167735327,0.22232480730407056,157.3093037399883,157.15337510207883
Bench 1910,4725609.0,30135.0,38901.0,69816388.0,11136374.0,0.0677,0.4243,1,0.06768624294914827,0.4243400051039953,156.81463414634146,121.47782833346186
Bench 1975,3581799.0,36476.0,43646.0,68175959.0,8340385.0,0.0525,0.4295,1,0.05253756679829029,0.4294524773136971,98.19604671564865,82.06477111304586
Bench 1977,24537098.0,70958.0,98912.0,96035454.0,50139103.0,0.2555,0.4894,1,0.2555004113376712,0.4893804741580638,345.79748583669215,248.06998139760594
Bench 1981,83433049.0,3614444.0,3631753.0,299401932.0,117408568.0,0.2787,0.7106,1,0.27866570012647746,0.7106214684434274,23.083231888500695,22.973216790899603
Bench 1986,115699164.0,65399516.0,65415836.0,125625800.0,304864639.0,0.921,0.3795,1,0.9209825051860366,0.3795099503160155,1.7691134594941038,1.7686720995203669
Bench 1991,67547705.0,126708868.0,127621978.0,103189499.0,238883982.0,0.6546,0.2828,1,0.6545986331419247,0.28276364298046575,0.533093745261776,0.5292795649978094
Bench 2012,1345254.0,27869.0,34408.0,48066012.0,761475.0,0.028,1.7666,1,0.02798763500495943,1.7666423717127941,48.270623273170905,39.09712857475006
Bench 2014,514050751.0,186333129.0,186410890.0,520160710.0,572644853.0,0.9883,0.8977,1,0.988253709127704,0.8976781128948695,2.7587727086362617,2.7576218910815777
Bench 2026,43647161.0,3957461.0,3990196.0,124414532.0,179463448.0,0.3508,0.2432,1,0.3508204411362493,0.243209196560182,11.02908177743255,10.938600760463897
Bench 2036,1059222.0,15667.0,24572.0,64427405.0,1370369.0,0.0164,0.7729,1,0.016440550414842877,0.7729465567303405,67.60847641539542,43.10686960768354
