benchmark,model,mlir_baseline,v0_exec_time,v0_speedup,v45_exec_time,v45_speedup,v45_vs_v0_ratio,pytorch_eager,pytorch_jit
bert_block_585,bert,23278832,24878306.0,0.9357,7613615.0,3.0575,3.2676,57589,64985
bert_block_588,bert,54960,35880.0,1.5318,31730.0,1.7321,1.1308,6726,12078
bert_block_589,bert,44677,39990.0,1.1172,31070.0,1.4379,1.2871,6534,11732
bert_block_592,bert,29912,25120.0,1.1908,15850.0,1.8872,1.5849,6669,11731
bert_block_635,bert,52024,40320.0,1.2903,28301.0,1.8382,1.4247,6950,12228
bert_block_650,bert,23250976,17017790.0,1.3663,5218448.0,4.4555,3.2611,4488,8273
bert_block_665,bert,26599,21453426.0,0.0012,33580.0,0.7921,638.8751,7849,12928
bert_block_676,bert,23763358,13811441.0,1.7206,7631645.0,3.1138,1.8098,58809,66150
bert_block_681,bert,34987,20970.0,1.6684,20230.0,1.7295,1.0366,5456,8434
bert_block_687,bert,23396397,8541240.0,2.7392,5188588.0,4.5092,1.6462,205188,213091
bert_block_725,bert,50194,36710.0,1.3673,33590.0,1.4943,1.0929,6754,12073
bert_block_729,bert,27119,23950.0,1.1323,21700.0,1.2497,1.1037,6585,11785
bert_block_760,bert,38420,36750.0,1.0454,28190.0,1.3629,1.3037,6638,11871
bert_block_761,bert,23617195,17070940.0,1.3835,5211238.0,4.532,3.2758,3602,17695
bert_block_762,bert,23848979,14393094.0,1.657,8509831.0,2.8025,1.6913,57585,64867
bert_block_763,bert,47289,31260.0,1.5128,22060.0,2.1437,1.417,6636,12883
bert_block_764,bert,23190442,18810300.0,1.2329,5233247.0,4.4314,3.5944,203074,209774
bert_block_770,bert,53887,40520.0,1.3299,35750.0,1.5073,1.1334,6575,11832
bert_block_773,bert,43943,26360.0,1.667,25480.0,1.7246,1.0345,6512,11737
bert_block_774,bert,27342,27290.0,1.0019,24430.0,1.1192,1.1171,6513,11821
bert_block_820,bert,25027,24340.0,1.0282,24240.0,1.0325,1.0041,6580,11855
bert_block_829,bert,23474195,7318283.0,3.2076,5153657.0,4.5549,1.42,4515,8472
bert_block_831,bert,23216828,14514495.0,1.5996,5191177.0,4.4724,2.796,18121,25334
bert_block_834,bert,23514150,11045875.0,2.1288,5164787.0,4.5528,2.1387,18073,24926
bert_block_837,bert,22913686,11875730.0,1.9295,5184988.0,4.4192,2.2904,18098,24564
bert_block_851,bert,33510,37780.0,0.887,22511.0,1.4886,1.6783,6891,12291
bert_block_858,bert,23966701,15808242.0,1.5161,7740566.0,3.0962,2.0423,57574,65211
bert_block_861,bert,35429,36540.0,0.9696,28310.0,1.2515,1.2907,6516,11674
bert_block_867,bert,22510,22340.0,1.0076,15540.0,1.4485,1.4376,6572,11825
bert_block_879,bert,99706634,110361998.0,0.9035,71962491.0,1.3855,1.5336,199409,206729
bert_block_89,bert,36911,39270.0,0.9399,25110.0,1.47,1.5639,6476,11506
bert_block_895,bert,40059,41240.0,0.9714,29500.0,1.3579,1.398,7695,11574
bert_block_907,bert,44787,41731.0,1.0732,35470.0,1.2627,1.1765,6434,12901
bert_block_908,bert,37149,42740.0,0.8692,35160.0,1.0566,1.2156,6583,12828
bert_block_921,bert,23149791,12626474.0,1.8334,5220317.0,4.4346,2.4187,18990,24094
bert_block_943,bert,23217490,9044823.0,2.5669,5360478.0,4.3312,1.6873,3505,17453
bert_block_946,bert,23817766,14975618.0,1.5904,5278628.0,4.5121,2.837,203704,210361
convnext_tiny_block_101,convnext_tiny,412638,24297779.0,0.017,668434.0,0.6173,36.3503,3261,6281
convnext_tiny_block_102,convnext_tiny,312561,33653547.0,0.0093,497073.0,0.6288,67.7034,22733,29647
convnext_tiny_block_113,convnext_tiny,10405511,50748362.0,0.205,4096057.0,2.5404,12.3896,406551,419722
convnext_tiny_block_117,convnext_tiny,189439,15451575.0,0.0123,162901.0,1.1629,94.8525,1905,9891
convnext_tiny_block_133,convnext_tiny,787625,39340602.0,0.02,1257749.0,0.6262,31.2786,2837,6150
convnext_tiny_block_143,convnext_tiny,409447,14782001.0,0.0277,534064.0,0.7667,27.6783,2825,6081
convnext_tiny_block_146,convnext_tiny,250582,30078205.0,0.0083,359222.0,0.6976,83.7315,22681,30074
convnext_tiny_block_16,convnext_tiny,15200822,43161995.0,0.3522,9748756.0,1.5593,4.4274,640225,674776
convnext_tiny_block_160,convnext_tiny,156919,43932460.0,0.0036,245342.0,0.6396,179.0662,14388,22399
convnext_tiny_block_170,convnext_tiny,4703662,50444490.0,0.0932,2031603.0,2.3152,24.8299,311171,322921
convnext_tiny_block_171,convnext_tiny,174651,37138609.0,0.0047,240322.0,0.7267,154.5369,5550,9176
convnext_tiny_block_173,convnext_tiny,157273,64073424.0,0.0025,271791.0,0.5787,235.7452,14427,22280
convnext_tiny_block_19,convnext_tiny,582560,42570631.0,0.0137,2129124.0,0.2736,19.9944,40433,47860
convnext_tiny_block_2,convnext_tiny,5675777,62201732.0,0.0912,24912408.0,0.2278,2.4968,418038,432088
convnext_tiny_block_235,convnext_tiny,155074,39584983.0,0.0039,262312.0,0.5912,150.908,14489,22463
convnext_tiny_block_236,convnext_tiny,94365,14414209.0,0.0065,57221.0,1.6491,251.9042,1727,9377
convnext_tiny_block_237,convnext_tiny,136968,30051785.0,0.0046,184582.0,0.742,162.8099,14914,22366
convnext_tiny_block_265,convnext_tiny,175903,22189926.0,0.0079,240241.0,0.7322,92.3653,5217,9270
convnext_tiny_block_266,convnext_tiny,228348,22115567.0,0.0103,261902.0,0.8719,84.4421,2790,6007
convnext_tiny_block_29,convnext_tiny,16583116,49080291.0,0.3379,9672155.0,1.7145,5.0744,643247,656014
convnext_tiny_block_299,convnext_tiny,329616,44850985.0,0.0073,670114.0,0.4919,66.9304,4410,8131
convnext_tiny_block_300,convnext_tiny,375788,41664726.0,0.009,490534.0,0.7661,84.9375,2831,6029
