agent_version,checkpoint,speedup
paper_tf_large,5700,2.3950
paper_tf_large,5800,2.4280
paper_tf_large,5900,2.3904
paper_tf_large,6000,2.3537
paper_tf_large,6100,2.4272
paper_tf_large,6200,2.0105
paper_tf_large,6300,1.4687
paper_tf_large,6400,1.4200
paper_tf_large,6500,1.4483
paper_tf_large,6600,1.4607
paper_tf_large,6700,2.1300
paper_tf_large,6800,2.2661
paper_tf_large,6900,2.2858
paper_tf_large,7000,2.3003
paper_tf_large,7100,2.2869
paper_tf_large,7200,2.3763
paper_tf_large,7300,2.2650
paper_tf_large,7400,2.2602
paper_tf_large,7500,2.4101
paper_tf_large,7600,2.2747
paper_tf_large,7700,2.3080
paper_tf_large,7800,2.2563
paper_tf_large,7900,2.2584
paper_tf_large,8000,2.2397
paper_tf_large,8100,2.2355
paper_tf_large,8200,2.2267
paper_tf_large,8300,2.2275
paper_tf_large,8400,2.2331
paper_tf_large,8500,2.2448
paper_tf_large,8600,2.2329
paper_tf_large,8700,2.2054
paper_tf_large,8800,2.2606
paper_tf_large,8900,2.2283
paper_tf_large,9000,2.2574
paper_tf_large,9100,2.2603
paper_tf_large,9200,2.2193
paper_tf_large,9300,2.2187
paper_tf_large,9400,2.2165
paper_tf_large,9500,2.2303
paper_tf_large,9600,2.2363
paper_tf_large,9700,2.2185
paper_tf_large,9800,2.2015
paper_tf_large,9900,2.2298
paper_tf_large,10000,2.1899
paper_tf_large,10100,2.2258
paper_tf_large,10200,2.1933
paper_tf_large,10300,2.2225
paper_tf_large,10400,2.3514
paper_tf_large,10500,2.3284
paper_tf_large,10600,2.3651
paper_tf_large,10700,2.3452
paper_tf_large,10800,2.3669
paper_tf_large,10900,2.2881
paper_tf_large,11000,2.3142
paper_tf_large,11100,2.3024
paper_tf_large,11200,2.3391
paper_tf_large,11300,2.3263
paper_tf_large,11400,2.3707
paper_tf_large,11500,2.3769
